Ball_Possession,Blocked_Shots,Corner_Kicks,FixtureID,Fouls,Goalkeeper_Saves,Offsides,Passes_Percent,Passes_accurate,Red_Cards,Shots_insidebox,Shots_off_Goal,Shots_on_Goal,Shots_outsidebox,TeamID,Total_Shots,Total_passes,Yellow_Cards,expected_goals,goals_prevented
34%,5,4,1332404,8,6.0,2.0,79%,241.0,,3.0,3,3,8.0,2379,11.0,307.0,0,,
66%,1,8,1332404,14,2.0,1.0,90%,547.0,,10.0,4,10,5.0,2384,15.0,608.0,2,,
42%,2,6,1332405,14,2.0,,82%,348.0,,2.0,4,3,7.0,29,9.0,423.0,2,,
42%,2,6,1332405,14,2.0,,82%,348.0,,2.0,4,3,7.0,29,9.0,423.0,2,,
42%,2,6,1332405,14,2.0,,82%,348.0,,2.0,4,3,7.0,29,9.0,423.0,2,,
42%,2,6,1332405,14,2.0,,82%,348.0,,2.0,4,3,7.0,29,9.0,423.0,2,,
58%,3,4,1332405,16,3.0,,88%,528.0,,7.0,3,5,4.0,2384,11.0,601.0,3,,
58%,3,4,1332405,16,3.0,,88%,528.0,,7.0,3,5,4.0,2384,11.0,601.0,3,,
58%,3,4,1332405,16,3.0,,88%,528.0,,7.0,3,5,4.0,2384,11.0,601.0,3,,
58%,3,4,1332405,16,3.0,,88%,528.0,,7.0,3,5,4.0,2384,11.0,601.0,3,,
71%,5,8,1334649,12,6.0,5.0,88%,574.0,,9.0,7,2,5.0,5,14.0,651.0,1,,
71%,5,8,1334649,12,6.0,5.0,88%,574.0,,9.0,7,2,5.0,5,14.0,651.0,1,,
29%,3,3,1334649,14,2.0,3.0,71%,189.0,,8.0,3,7,5.0,1102,13.0,266.0,3,,
29%,3,3,1334649,14,2.0,3.0,71%,189.0,,8.0,3,7,5.0,1102,13.0,266.0,3,,
50%,5,7,1334978,10,,2.0,,,0.0,,6,3,,1096,,,1,,
50%,5,7,1334978,10,,2.0,,,0.0,,6,3,,1096,,,1,,
50%,11,11,1334978,16,,0.0,,,0.0,,13,6,,1100,,,1,,
50%,11,11,1334978,16,,0.0,,,0.0,,13,6,,1100,,,1,,
32%,3,2,1335517,11,5.0,1.0,77%,207.0,,3.0,7,1,8.0,11,11.0,268.0,3,,
68%,2,1,1335517,14,0.0,2.0,89%,524.0,,12.0,2,11,3.0,2383,15.0,587.0,5,,
59%,3,5,1335518,18,4.0,4.0,88%,507.0,,11.0,7,6,5.0,5,16.0,579.0,1,,
41%,2,3,1335518,5,1.0,1.0,82%,326.0,,6.0,7,5,8.0,771,14.0,400.0,0,,
56%,4,9,1338605,14,1.0,1.0,86%,428.0,,11.0,2,7,2.0,15,13.0,495.0,2,,
44%,2,6,1338605,12,4.0,0.0,87%,342.0,,5.0,5,2,4.0,1102,9.0,393.0,3,,
